anime_id,name,genre,type,episodes,rating,members,cluster
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"['Drama', 'Slice of Life', 'Supernatural']",TV,11,8.62,463835,3
24415,Kuroko no Basket 3rd Season,"['Comedy', 'School', 'Shounen', 'Sports']",TV,25,8.62,184525,3
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"['Sci-Fi', 'Thriller']",Movie,1,8.61,192424,4
10408,Hotarubi no Mori e,"['Drama', 'Romance', 'Shoujo', 'Supernatural']",Movie,1,8.61,197439,3
28171,Shokugeki no Souma,"['Ecchi', 'School', 'Shounen']",TV,24,8.61,348951,3
32995,Yuri!!! on Ice,"['Comedy', 'Sports']",TV,12,8.61,103178,3
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Movie,2,8.6,11104,1
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"['Action', 'Adventure', 'Drama', 'Shounen', 'Supernatural']",TV,24,8.6,93657,3
7472,Gintama Movie: Shinyaku Benizakura-hen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Movie,1,8.59,51185,1
777,Hellsing Ultimate,"['Action', 'Horror', 'Military', 'Seinen', 'Supernatural', 'Vampire']",OVA,10,8.59,297454,1
22535,Kiseijuu: Sei no Kakuritsu,"['Action', 'Drama', 'Horror', 'Psychological', 'Sci-Fi', 'Seinen']",TV,24,8.59,425457,4
28735,Shouwa Genroku Rakugo Shinjuu,"['Drama', 'Historical', 'Josei']",TV,13,8.59,71295,5
12431,Uchuu Kyoudai,"['Comedy', 'Sci-Fi', 'Seinen', 'Slice of Life', 'Space']",TV,99,8.59,72958,7
28805,Bakemono no Ko,"['Adventure', 'Supernatural']",Movie,1,8.58,80825,3
578,Hotaru no Haka,"['Drama', 'Historical']",Movie,1,8.58,174878,3
16894,Kuroko no Basket 2nd Season,"['Comedy', 'School', 'Shounen', 'Sports']",TV,25,8.58,243325,3
5028,Major S5,"['Comedy', 'Drama', 'Romance', 'Sports']",TV,25,8.58,28653,3
21,One Piece,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Super Power']",TV,Unknown,8.58,504862,1
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"['Action', 'Mecha', 'Military', 'Mystery', 'Police', 'Sci-Fi', 'Seinen']",TV,26,8.57,113993,4
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"['Action', 'Adventure', 'Comedy', 'Drama', 'Shounen', 'Supernatural']",TV,39,8.57,74074,3
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"['Action', 'Mystery', 'Romance', 'Supernatural', 'Thriller']",Movie,1,8.57,95658,4
17389,Kingdom 2nd Season,"['Action', 'Historical', 'Military', 'Seinen']",TV,39,8.57,31234,7
170,Slam Dunk,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",TV,101,8.56,82570,3
10162,Usagi Drop,"['Josei', 'Slice of Life']",TV,11,8.56,194855,5
18617,Girls und Panzer der Film,"['Military', 'School']",Movie,1,8.55,25641,7
32182,Mob Psycho 100,"['Action', 'Comedy', 'Slice of Life', 'Supernatural']",TV,12,8.55,193716,3
877,Nana,"['Comedy', 'Drama', 'Music', 'Romance', 'Shoujo', 'Slice of Life']",TV,47,8.55,197256,3
2251,Baccano!,"['Action', 'Comedy', 'Historical', 'Mystery', 'Seinen', 'Supernatural']",TV,13,8.54,363215,3
24687,Mushishi Zoku Shou: Odoro no Michi,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",Special,1,8.54,34011,3
16498,Shingeki no Kyojin,"['Action', 'Drama', 'Fantasy', 'Shounen', 'Super Power']",TV,25,8.54,896229,1
10030,Bakuman. 2nd Season,"['Comedy', 'Drama', 'Romance', 'Shounen']",TV,25,8.53,151561,3
5941,Cross Game,"['Comedy', 'Drama', 'Romance', 'School', 'Sports']",TV,50,8.53,53108,3
30346,Doukyuusei (Movie),"['Romance', 'School', 'Shounen Ai', 'Slice of Life']",Movie,1,8.53,28864,9
3784,Evangelion: 2.0 You Can (Not) Advance,"['Action', 'Mecha', 'Sci-Fi']",Movie,1,8.53,182224,7
13125,Shinsekai yori,"['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Supernatural']",TV,25,8.53,288376,3
12029,Uchuu Senkan Yamato 2199,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",OVA,26,8.53,44223,7
14397,Chihayafuru 2,"['Drama', 'Game', 'Josei', 'Slice of Life', 'Sports']",TV,25,8.52,86074,5
10087,Fate/Zero,"['Action', 'Fantasy', 'Supernatural']",TV,13,8.51,453630,3
14719,JoJo no Kimyou na Bouken (TV),"['Action', 'Adventure', 'Shounen', 'Supernatural', 'Vampire']",TV,26,8.51,190197,1
9756,Mahou Shoujo Madoka★Magica,"['Drama', 'Magic', 'Psychological', 'Thriller']",TV,12,8.51,462974,4
10165,Nichijou,"['Comedy', 'School', 'Slice of Life']",TV,26,8.52,254436,3
13601,Psycho-Pass,"['Action', 'Police', 'Psychological', 'Sci-Fi']",TV,22,8.5,509109,4
22789,Barakamon,"['Comedy', 'Slice of Life']",TV,12,8.5,225927,3
30230,Diamond no Ace: Second Season,"['Comedy', 'School', 'Shounen', 'Sports']",TV,51,8.5,38531,3
18115,Magi: The Kingdom of Magic,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']",TV,25,8.5,245026,3
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"['Drama', 'Magic', 'Psychological', 'Thriller']",Movie,1,8.5,135735,4
11917,Major: World Series,"['Comedy', 'Drama', 'Sports']",OVA,2,8.5,13405,3
205,Samurai Champloo,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Shounen']",TV,26,8.5,390076,1
32282,Shokugeki no Souma: Ni no Sara,"['Ecchi', 'School', 'Shounen']",TV,13,8.5,185015,3
6594,Katanagatari,"['Action', 'Adventure', 'Historical', 'Martial Arts', 'Romance']",TV,12,8.49,207241,1
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"['Drama', 'Magic', 'Psychological', 'Thriller']",Movie,1,8.49,85361,4
7655,Major S6,"['Comedy', 'Drama', 'Sports']",TV,25,8.49,24788,3
2246,Mononoke,"['Demons', 'Fantasy', 'Historical', 'Horror', 'Mystery', 'Seinen', 'Supernatural']",TV,12,8.49,88850,1
25835,Shirobako,"['Comedy', 'Drama']",TV,24,8.49,146895,3
2921,Ashita no Joe 2,"['Drama', 'Sports']",TV,47,8.48,6259,3
136,Hunter x Hunter,"['Action', 'Adventure', 'Shounen', 'Super Power']",TV,62,8.48,166255,1
30503,Noragami Aragoto,"['Action', 'Adventure', 'Shounen', 'Supernatural']",TV,13,8.48,299434,3
12531,Sakamichi no Apollon,"['Drama', 'Josei', 'Music', 'Romance', 'School']",TV,12,8.48,146592,5
523,Tonari no Totoro,"['Adventure', 'Comedy', 'Supernatural']",Movie,1,8.48,271484,3
467,Ghost in the Shell: Stand Alone Complex,"['Action', 'Mecha', 'Military', 'Police', 'Sci-Fi', 'Seinen']",TV,26,8.47,194491,4
572,Kaze no Tani no Nausicaä,"['Adventure', 'Fantasy']",Movie,1,8.47,143273,3
19815,No Game No Life,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Game', 'Supernatural']",TV,12,8.47,602291,3
2559,Romeo no Aoi Sora,"['Adventure', 'Drama', 'Historical', 'Slice of Life']",TV,33,8.47,15074,3
392,Yuu☆Yuu☆Hakusho,"['Action', 'Comedy', 'Demons', 'Fantasy', 'Martial Arts', 'School', 'Shounen']",TV,112,8.47,195017,1
486,Kino no Tabi: The Beautiful World,"['Action', 'Adventure', 'Slice of Life']",TV,13,8.46,102822,3
11771,Kuroko no Basket,"['Comedy', 'School', 'Shounen', 'Sports']",TV,25,8.46,338315,3
1698,Nodame Cantabile,"['Comedy', 'Drama', 'Josei', 'Music', 'Romance', 'Slice of Life']",TV,23,8.46,157025,5
5341,Ookami to Koushinryou II,"['Adventure', 'Fantasy', 'Historical', 'Romance']",TV,12,8.46,210491,3
25781,Shingeki no Kyojin: Kuinaki Sentaku,"['Action', 'Fantasy', 'Shoujo', 'Supernatural']",OVA,2,8.45,92543,3
10863,Steins;Gate: Oukoubakko no Poriomania,"['Sci-Fi', 'Thriller']",Special,1,8.46,159548,4
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"['Action', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']",TV,13,8.45,205987,3
5420,Kemono no Souja Erin,"['Drama', 'Fantasy']",TV,50,8.45,36751,3
9260,Kizumonogatari I: Tekketsu-hen,"['Mystery', 'Supernatural', 'Vampire']",Movie,1,8.45,99579,1
32,Neon Genesis Evangelion: The End of Evangelion,"['Dementia', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi']",Movie,1,8.45,215630,4
4224,Toradora!,"['Comedy', 'Romance', 'School', 'Slice of Life']",TV,25,8.45,633817,3
2236,Toki wo Kakeru Shoujo,"['Adventure', 'Drama', 'Romance', 'Sci-Fi']",Movie,1,8.44,289206,3
2685,Tsubasa: Tokyo Revelations,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Shounen']",OVA,3,8.44,57963,3
31181,Owarimonogatari,"['Comedy', 'Mystery', 'Supernatural']",TV,12,8.43,107855,3
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai']",TV,94,8.43,218928,1
2418,Stranger: Mukou Hadan,"['Action', 'Adventure', 'Historical', 'Samurai']",Movie,1,8.43,125503,1
1365,Detective Conan Movie 06: The Phantom of Baker Street,"['Adventure', 'Mystery', 'Police', 'Shounen']",Movie,1,8.42,28462,4
22297,Fate/stay night: Unlimited Blade Works,"['Action', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']",TV,12,8.42,267484,3
627,Major S1,"['Comedy', 'Drama', 'Shounen', 'Sports']",TV,26,8.42,41061,3
10937,Mobile Suit Gundam: The Origin,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']",OVA,6,8.42,15420,7
23755,Nanatsu no Taizai,"['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Shounen', 'Supernatural']",TV,24,8.42,331627,3
4081,Natsume Yuujinchou,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']",TV,13,8.42,210736,3
4155,One Piece Film: Strong World,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']",Movie,1,8.42,85020,3
1889,Higurashi no Naku Koro ni Kai,"['Mystery', 'Psychological', 'Supernatural', 'Thriller']",TV,24,8.41,218101,4
137,Hunter x Hunter OVA,"['Action', 'Adventure', 'Shounen', 'Super Power']",OVA,8,8.41,53168,1
139,Hunter x Hunter: Greed Island Final,"['Action', 'Adventure', 'Shounen', 'Super Power']",OVA,14,8.41,55787,1
23317,Kuroshitsuji: Book of Murder,"['Comedy', 'Demons', 'Fantasy', 'Historical', 'Mystery', 'Shounen', 'Supernatural']",OVA,2,8.41,67261,1
558,Major S2,"['Comedy', 'Drama', 'Shounen', 'Sports']",TV,26,8.41,30689,3
5040,One Outs,"['Psychological', 'Seinen', 'Sports']",TV,25,8.41,83056,4
57,Beck,"['Comedy', 'Drama', 'Music', 'Shounen', 'Slice of Life']",TV,26,8.4,148328,0
33,Berserk,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",TV,25,8.4,226430,1
5,Cowboy Bebop: Tengoku no Tobira,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",Movie,1,8.4,137636,7
1842,Major S3,"['Drama', 'Shounen', 'Sports']",TV,26,8.4,29528,3
6336,Mobile Suit Gundam Unicorn,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",OVA,7,8.4,42076,7
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']",OVA,1,8.4,28302,3
1210,NHK ni Youkoso!,"['Comedy', 'Drama', 'Psychological', 'Romance']",TV,24,8.4,291228,4
338,Rose of Versailles,"['Adventure', 'Drama', 'Historical', 'Romance', 'Shoujo']",TV,40,8.4,32188,3
13759,Sakurasou no Pet na Kanojo,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life']",TV,24,8.4,380375,3
6547,Angel Beats!,"['Action', 'Comedy', 'Drama', 'School', 'Supernatural']",TV,13,8.39,717796,3
5081,Bakemonogatari,"['Mystery', 'Romance', 'Supernatural', 'Vampire']",TV,15,8.39,482268,1
32867,Bungou Stray Dogs 2nd Season,"['Mystery', 'Seinen', 'Supernatural']",TV,12,8.39,83641,3
264,Hajime no Ippo: Champion Road,"['Comedy', 'Shounen', 'Sports']",Special,1,8.39,47840,3
12859,One Piece Film: Z,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']",Movie,1,8.39,76051,3
853,Ouran Koukou Host Club,"['Comedy', 'Harem', 'Romance', 'School', 'Shoujo']",TV,26,8.39,422271,8
5460,Detective Conan Movie 13: The Raven Chaser,"['Action', 'Mystery', 'Police', 'Shounen']",Movie,1,8.38,21798,4
6746,Durarara!!,"['Action', 'Mystery', 'Supernatural']",TV,24,8.38,556431,3
5690,Nodame Cantabile Finale,"['Comedy', 'Josei', 'Music', 'Romance']",TV,11,8.38,67697,5
329,Planetes,"['Drama', 'Romance', 'Sci-Fi', 'Seinen', 'Space']",TV,26,8.38,105044,7
34240,Shelter,"['Music', 'Sci-Fi']",Music,1,8.38,71136,0
513,Tenkuu no Shiro Laputa,"['Adventure', 'Fantasy', 'Romance', 'Sci-Fi']",Movie,1,8.38,151061,3
6945,Gintama: Shiroyasha Koutan,"['Action', 'Comedy', 'Historical', 'Parody', 'Sci-Fi']",Special,1,8.37,27213,3
1142,Hachimitsu to Clover II,"['Drama', 'Josei', 'Romance']",TV,12,8.37,61493,5
6811,InuYasha: Kanketsu-hen,"['Action', 'Adventure', 'Comedy', 'Demons', 'Fantasy', 'Magic', 'Romance', 'Shounen', 'Supernatural']",TV,26,8.37,99128,1
16664,Kaguya-hime no Monogatari,"['Fantasy', 'Historical']",Movie,1,8.37,45547,3
1604,Katekyo Hitman Reborn!,"['Action', 'Comedy', 'Shounen', 'Super Power']",TV,203,8.37,258103,1
22145,Kuroshitsuji: Book of Circus,"['Comedy', 'Demons', 'Fantasy', 'Historical', 'Shounen', 'Supernatural']",TV,10,8.37,122895,1
2966,Ookami to Koushinryou,"['Adventure', 'Fantasy', 'Historical', 'Romance']",TV,13,8.37,334932,3
31964,Boku no Hero Academia,"['Action', 'Comedy', 'School', 'Shounen', 'Super Power']",TV,13,8.36,282002,1
19363,Gin no Saji 2nd Season,"['Comedy', 'School', 'Shounen', 'Slice of Life']",TV,11,8.36,67032,3
18195,Little Busters!: Refrain,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life', 'Supernatural']",TV,13,8.36,71820,3
9890,Major: Message,"['Comedy', 'Drama', 'Sports']",OVA,1,8.36,12282,3
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"['Action', 'Adventure', 'Martial Arts', 'Shounen', 'Super Power', 'Supernatural']",OVA,13,8.36,27532,1
9863,SKET Dance,"['Comedy', 'School', 'Shounen']",TV,77,8.36,101027,3
7674,Bakuman.,"['Comedy', 'Romance', 'Shounen']",TV,25,8.35,246899,3
11843,Danshi Koukousei no Nichijou,"['Comedy', 'School', 'Shounen', 'Slice of Life']",TV,12,8.35,258914,3
16782,Kotonoha no Niwa,"['Drama', 'Psychological', 'Romance', 'Slice of Life']",Movie,1,8.35,189741,4
28675,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,"['Fantasy', 'Slice of Life', 'Supernatural']",Movie,1,8.35,59815,3
3226,Major S4,"['Comedy', 'Drama', 'Shounen', 'Sports']",TV,26,8.35,28002,3
21557,Omoide no Marnie,"['Drama', 'Mystery', 'Psychological']",Movie,1,8.35,53590,4
31715,Working!!!: Lord of the Takanashi,"['Comedy', 'Romance', 'Slice of Life']",Special,1,8.34,31856,3
43,Ghost in the Shell,"['Action', 'Mecha', 'Police', 'Psychological', 'Sci-Fi', 'Seinen']",Movie,1,8.34,223036,4
9617,K-On! Movie,"['Comedy', 'Music', 'Slice of Life']",Movie,1,8.34,115252,0
31051,Kuroko no Basket: Saikou no Present Desu,"['Action', 'School', 'Shounen', 'Sports']",Special,1,8.34,22900,3
10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",Movie,1,8.34,13315,1
1033,Sennen Joyuu,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Romance']",Movie,1,8.34,58492,3
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"['Sci-Fi', 'Thriller']",Special,1,8.34,38147,4
3091,xxxHOLiC Kei,"['Comedy', 'Drama', 'Mystery', 'Psychological', 'Supernatural']",TV,13,8.34,74941,4
12115,Berserk: Ougon Jidai-hen III - Kourin,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Seinen', 'Supernatural']",Movie,1,8.33,65594,1
28223,Death Parade,"['Drama', 'Game', 'Mystery', 'Psychological', 'Thriller']",TV,12,8.33,383914,4
121,Fullmetal Alchemist,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",TV,51,8.33,600384,7
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,"['Game', 'Psychological', 'Seinen', 'Thriller']",TV,26,8.33,98996,4
138,Hunter x Hunter: Greed Island,"['Action', 'Adventure', 'Shounen', 'Super Power']",OVA,8,8.33,57029,1
6675,Redline,"['Action', 'Cars', 'Sci-Fi', 'Sports']",Movie,1,8.33,109392,6
10800,Chihayafuru,"['Drama', 'Game', 'Josei', 'Slice of Life', 'Sports']",TV,25,8.32,158561,5
32005,Detective Conan Movie 20: The Darkest Nightmare,"['Action', 'Mystery', 'Police', 'Shounen']",Movie,1,8.32,6229,4
813,Dragon Ball Z,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen', 'Super Power']",TV,291,8.32,375662,1
27821,Fate/stay night: Unlimited Blade Works - Prologue,"['Action', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']",Special,1,8.32,106382,3
28725,Kokoro ga Sakebitagatterunda.,"['Drama', 'Romance', 'School']",Movie,1,8.32,59652,3
585,Mimi wo Sumaseba,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Slice of Life']",Movie,1,8.32,94435,3
16067,Nagi no Asukara,"['Drama', 'Fantasy', 'Romance']",TV,26,8.32,224947,3
30,Neon Genesis Evangelion,"['Action', 'Dementia', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi']",TV,26,8.32,461946,4
31490,One Piece Film: Gold,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']",Movie,1,8.32,18642,3
759,Tokyo Godfathers,"['Comedy', 'Drama']",Movie,1,8.32,89424,3
6,Trigun,"['Action', 'Comedy', 'Sci-Fi']",TV,26,8.32,283069,3
6864,xxxHOLiC Rou,"['Mystery', 'Supernatural']",OVA,2,8.32,36353,3
9735,Gintama: Shinyaku Benizakura-hen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Special,1,8.31,14002,1
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"['Drama', 'Magic', 'Psychological', 'Thriller']",Movie,1,8.31,88164,4
11123,Sekaiichi Hatsukoi 2,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",TV,12,8.31,69253,9
